T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
1.1600	0.0000	0.0000	-2.0000	-0.7010	0.0000	0.0000	0.0000	0.0000	0.0000
1.1700	0.0000	0.0000	-2.0000	-0.6995	0.0000	0.0000	0.0000	0.0000	0.0000
1.1800	0.0000	0.0000	-2.0000	-0.6980	0.0000	0.0000	0.0000	0.0000	0.0000
1.1900	0.0000	0.0000	-2.0000	-0.6965	0.0000	0.0000	0.0000	0.0000	0.0000
1.2000	0.0000	0.0000	-2.0000	-0.6950	0.0000	0.0000	0.0000	0.0000	0.0000
1.2100	0.0000	0.0000	-2.0000	-0.6935	0.0000	0.0000	0.0000	0.0000	0.0000
1.2200	0.0000	0.0000	-2.0000	-0.6920	0.0000	0.0000	0.0000	0.0000	0.0000
1.2300	0.0000	0.0000	-2.0000	-0.6905	0.0000	0.0000	0.0000	0.0000	0.0000
1.2400	0.0000	0.0000	-2.0000	-0.6890	0.0000	0.0000	0.0000	0.0000	0.0000
1.2500	0.0000	0.0000	-2.0000	-0.6875	0.0000	0.0000	0.0000	0.0000	0.0000
1.2600	0.0000	0.0000	-2.0000	-0.6860	0.0000	0.0000	0.0000	0.0000	0.0000
1.2700	0.0000	0.0000	-2.0000	-0.6845	0.0000	0.0000	0.0000	0.0000	0.0000
1.2800	0.0000	0.0000	-2.0000	-0.6830	0.0000	0.0000	0.0000	0.0000	0.0000
1.2900	0.0000	0.0000	-2.0000	-0.6815	0.0000	0.0000	0.0000	0.0000	0.0000
1.3000	0.0000	0.0000	-2.0000	-0.6800	0.0000	0.0000	0.0000	0.0000	0.0000
1.3100	0.0000	0.0000	-2.0000	-0.6785	0.0000	0.0000	0.0000	0.0000	0.0000
1.3200	0.0000	0.0000	-2.0000	-0.6770	0.0000	0.0000	0.0000	0.0000	0.0000
1.3300	0.0000	0.0000	-2.0000	-0.6755	0.0000	0.0000	0.0000	0.0000	0.0000
1.3400	0.0000	0.0000	-2.0000	-0.6740	0.0000	0.0000	0.0000	0.0000	0.0000
1.3500	0.0000	0.0000	-2.0000	-0.6725	0.0000	0.0000	0.0000	0.0000	0.0000
1.3600	0.0000	0.0000	-2.0000	-0.6710	0.0000	0.0000	0.0000	0.0000	0.0000
1.3700	0.0000	0.0000	-2.0000	-0.6695	0.0000	0.0000	0.0000	0.0000	0.0000
1.3800	0.0000	0.0000	-2.0000	-0.6680	0.0000	0.0000	0.0000	0.0000	0.0000
1.3900	0.0000	0.0000	-2.0000	-0.6665	0.0000	0.0000	0.0000	0.0000	0.0000
1.4000	0.0000	0.0000	-2.0000	-0.6650	0.0000	0.0000	0.0000	0.0000	0.0000
1.4100	0.0000	0.0000	-2.0000	-0.6635	0.0000	0.0000	0.0000	0.0000	0.0000
1.4200	0.0000	0.0000	-2.0000	-0.6620	0.0000	0.0000	0.0000	0.0000	0.0000
1.4300	0.0000	0.0000	-2.0000	-0.6605	0.0000	0.0000	0.0000	0.0000	0.0000
1.4400	0.0000	0.0000	-2.0000	-0.6590	0.0000	0.0000	0.0000	0.0000	0.0000
1.4500	0.0000	0.0000	-2.0000	-0.6575	0.0000	0.0000	0.0000	0.0000	0.0000
1.4600	0.0000	0.0000	-2.0000	-0.6560	0.0000	0.0000	0.0000	0.0000	0.0000
1.4700	0.0000	0.0000	-2.0000	-0.6545	0.0000	0.0000	0.0000	0.0000	0.0000
1.4800	0.0000	0.0000	-2.0000	-0.6530	0.0000	0.0000	0.0000	0.0000	0.0000
1.4900	0.0000	0.0000	-2.0000	-0.6515	0.0000	0.0000	0.0000	0.0000	0.0000
1.5000	0.0000	0.0000	-2.0000	-0.6500	0.0000	0.0000	0.0000	0.0000	0.0000
1.5100	0.0000	0.0000	-2.0000	-0.6485	0.0000	0.0000	0.0000	0.0000	0.0000
1.5200	0.0000	0.0000	-2.0000	-0.6470	0.0000	0.0000	0.0000	0.0000	0.0000
1.5300	0.0000	0.0000	-2.0000	-0.6455	0.0000	0.0000	0.0000	0.0000	0.0000
1.5400	0.0000	0.0000	-2.0000	-0.6440	0.0000	0.0000	0.0000	0.0000	0.0000
1.5500	0.0000	0.0000	-2.0000	-0.6425	0.0000	0.0000	0.0000	0.0000	0.0000
1.5600	0.0000	0.0000	-2.0000	-0.6410	0.0000	0.0000	0.0000	0.0000	0.0000
1.5700	0.0000	0.0000	-2.0000	-0.6395	0.0000	0.0000	0.0000	0.0000	0.0000
1.5800	0.0000	0.0000	-2.0000	-0.6380	0.0000	0.0000	0.0000	0.0000	0.0000
1.5900	0.0000	0.0000	-2.0000	-0.6365	0.0000	0.0000	0.0000	0.0000	0.0000
1.6000	0.0000	0.0000	-2.0000	-0.6350	0.0000	0.0000	0.0000	0.0000	0.0000
1.6100	0.0000	0.0000	-2.0000	-0.6335	0.0000	0.0000	0.0000	0.0000	0.0000
1.6200	0.0000	0.0000	-2.0000	-0.6320	0.0000	0.0000	0.0000	0.0000	0.0000
1.6300	0.0000	0.0000	-2.0000	-0.6305	0.0000	0.0000	0.0000	0.0000	0.0000
1.6400	0.0000	0.0000	-2.0000	-0.6290	0.0000	0.0000	0.0000	0.0000	0.0000
1.6500	0.0000	0.0000	-2.0000	-0.6275	0.0000	0.0000	0.0000	0.0000	0.0000
1.6600	0.0000	0.0000	-2.0000	-0.6260	0.0000	0.0000	0.0000	0.0000	0.0000
1.6700	0.0000	0.0000	-2.0000	-0.6245	0.0000	0.0000	0.0000	0.0000	0.0000
1.6800	0.0000	0.0000	-2.0000	-0.6230	0.0000	0.0000	0.0000	0.0000	0.0000
1.6900	0.0000	0.0000	-2.0000	-0.6215	0.0000	0.0000	0.0000	0.0000	0.0000
1.7000	0.0000	0.0000	-2.0000	-0.6200	0.0000	0.0000	0.0000	0.0000	0.0000
1.7100	0.0000	0.0000	-2.0000	-0.6185	0.0000	0.0000	0.0000	0.0000	0.0000
1.7200	0.0000	0.0000	-2.0000	-0.6170	0.0000	0.0000	0.0000	0.0000	0.0000
1.7300	0.0000	0.0000	-2.0000	-0.6155	0.0000	0.0000	0.0000	0.0000	0.0000
1.7400	0.0000	0.0000	-2.0000	-0.6140	0.0000	0.0000	0.0000	0.0000	0.0000
1.7500	0.0000	0.0000	-2.0000	-0.6125	0.0000	0.0000	0.0000	0.0000	0.0000
1.7600	0.0000	0.0000	-2.0000	-0.6110	0.0000	0.0000	0.0000	0.0000	0.0000
1.7700	0.0000	0.0000	-2.0000	-0.6095	0.0000	0.0000	0.0000	0.0000	0.0000
1.7800	0.0000	0.0000	-2.0000	-0.6080	0.0000	0.0000	0.0000	0.0000	0.0000
1.7900	0.0000	0.0000	-2.0000	-0.6065	0.0000	0.0000	0.0000	0.0000	0.0000
1.8000	0.0000	0.0000	-2.0000	-0.6050	0.0000	0.0000	0.0000	0.0000	0.0000
1.8100	0.0000	0.0000	-2.0000	-0.6035	0.0000	0.0000	0.0000	0.0000	0.0000
1.8200	0.0000	0.0000	-2.0000	-0.6020	0.0000	0.0000	0.0000	0.0000	0.0000
1.8300	0.0000	0.0000	-2.0000	-0.6005	0.0000	0.0000	0.0000	0.0000	0.0000
1.8400	0.0000	0.0000	-2.0000	-0.5990	0.0000	0.0000	0.0000	0.0000	0.0000
1.8500	0.0000	0.0000	-2.0000	-0.5975	0.0000	0.0000	0.0000	0.0000	0.0000
1.8600	0.0000	0.0000	-2.0000	-0.5960	0.0000	0.0000	0.0000	0.0000	0.0000
1.8700	0.0000	0.0000	-2.0000	-0.5945	0.0000	0.0000	0.0000	0.0000	0.0000
1.8800	0.0000	0.0000	-2.0000	-0.5930	0.0000	0.0000	0.0000	0.0000	0.0000
1.8900	0.0000	0.0000	-2.0000	-0.5915	0.0000	0.0000	0.0000	0.0000	0.0000
1.9000	0.0000	0.0000	-2.0000	-0.5900	0.0000	0.0000	0.0000	0.0000	0.0000
1.9100	0.0000	0.0000	-2.0000	-0.5885	0.0000	0.0000	0.0000	0.0000	0.0000
1.9200	0.0000	0.0000	-2.0000	-0.5870	0.0000	0.0000	0.0000	0.0000	0.0000
1.9300	0.0000	0.0000	-2.0000	-0.5855	0.0000	0.0000	0.0000	0.0000	0.0000
1.9400	0.0000	0.0000	-2.0000	-0.5840	0.0000	0.0000	0.0000	0.0000	0.0000
1.9500	0.0000	0.0000	-2.0000	-0.5825	0.0000	0.0000	0.0000	0.0000	0.0000
1.9600	0.0000	0.0000	-2.0000	-0.5810	0.0000	0.0000	0.0000	0.0000	0.0000
1.9700	0.0000	0.0000	-2.0000	-0.5795	0.0000	0.0000	0.0000	0.0000	0.0000
1.9800	0.0000	0.0000	-2.0000	-0.5780	0.0000	0.0000	0.0000	0.0000	0.0000
1.9900	0.0000	0.0000	-2.0000	-0.5765	0.0000	0.0000	0.0000	0.0000	0.0000
2.0000	0.0000	0.0000	-2.0000	-0.5750	0.0000	0.0000	0.0000	0.0000	0.0000
2.0100	0.0000	0.0000	-2.0000	-0.5735	0.0000	0.0000	0.0000	0.0000	0.0000
2.0200	0.0000	0.0000	-2.0000	-0.5720	0.0000	0.0000	0.0000	0.0000	0.0000
2.0300	0.0000	0.0000	-2.0000	-0.5705	0.0000	0.0000	0.0000	0.0000	0.0000
2.0400	0.0000	0.0000	-2.0000	-0.5690	0.0000	0.0000	0.0000	0.0000	0.0000
2.0500	0.0000	0.0000	-2.0000	-0.5675	0.0000	0.0000	0.0000	0.0000	0.0000
2.0600	0.0000	0.0000	-2.0000	-0.5660	0.0000	0.0000	0.0000	0.0000	0.0000
2.0700	0.0000	0.0000	-2.0000	-0.5645	0.0000	0.0000	0.0000	0.0000	0.0000
2.0800	0.0000	0.0000	-2.0000	-0.5630	0.0000	0.0000	0.0000	0.0000	0.0000
2.0900	0.0000	0.0000	-2.0000	-0.5615	0.0000	0.0000	0.0000	0.0000	0.0000
2.1000	0.0000	0.0000	-2.0000	-0.5600	0.0000	0.0000	0.0000	0.0000	0.0000
2.1100	0.0000	0.0000	-2.0000	-0.5585	0.0000	0.0000	0.0000	0.0000	0.0000
2.1200	0.0000	0.0000	-2.0000	-0.5570	0.0000	0.0000	0.0000	0.0000	0.0000
2.1300	0.0000	0.0000	-2.0000	-0.5555	0.0000	0.0000	0.0000	0.0000	0.0000
2.1400	0.0000	0.0000	-2.0000	-0.5540	0.0000	0.0000	0.0000	0.0000	0.0000
2.1500	0.0000	0.0000	-2.0000	-0.5525	0.0000	0.0000	0.0000	0.0000	0.0000
2.1600	0.0000	0.0000	-2.0000	-0.5510	0.0000	0.0000	0.0000	0.0000	0.0000
2.1700	0.0000	0.0000	-2.0000	-0.5495	0.0000	0.0000	0.0000	0.0000	0.0000
2.1800	0.0000	0.0000	-2.0000	-0.5480	0.0000	0.0000	0.0000	0.0000	0.0000
2.1900	0.0000	0.0000	-2.0000	-0.5465	0.0000	0.0000	0.0000	0.0000	0.0000
2.2000	0.0000	0.0000	-2.0000	-0.5450	0.0000	0.0000	0.0000	0.0000	0.0000
2.2100	0.0000	0.0000	-2.0000	-0.5435	0.0000	0.0000	0.0000	0.0000	0.0000
2.2200	0.0000	0.0000	-2.0000	-0.5420	0.0000	0.0000	0.0000	0.0000	0.0000
2.2300	0.0000	0.0000	-2.0000	-0.5405	0.0000	0.0000	0.0000	0.0000	0.0000
2.2400	0.0000	0.0000	-2.0000	-0.5390	0.0000	0.0000	0.0000	0.0000	0.0000
2.2500	0.0000	0.0000	-2.0000	-0.5375	0.0000	0.0000	0.0000	0.0000	0.0000
2.2600	0.0000	0.0000	-2.0000	-0.5360	0.0000	0.0000	0.0000	0.0000	0.0000
2.2700	0.0000	0.0000	-2.0000	-0.5345	0.0000	0.0000	0.0000	0.0000	0.0000
2.2800	0.0000	0.0000	-2.0000	-0.5330	0.0000	0.0000	0.0000	0.0000	0.0000
2.2900	0.0000	0.0000	-2.0000	-0.5315	0.0000	0.0000	0.0000	0.0000	0.0000
2.3000	0.0000	0.0000	-2.0000	-0.5300	0.0000	0.0000	0.0000	0.0000	0.0000
2.3100	0.0000	0.0000	-2.0000	-0.5285	0.0000	0.0000	0.0000	0.0000	0.0000
2.3200	0.0000	0.0000	-2.0000	-0.5270	0.0000	0.0000	0.0000	0.0000	0.0000
2.3300	0.0000	0.0000	-2.0000	-0.5255	0.0000	0.0000	0.0000	0.0000	0.0000
